WKT,fid,u,v,osmid,name,highway,oneway,reversed,length,lanes,ref,access,service,maxspeed,bridge,junction,tunnel,area,width,total_split_CYD
"LINESTRING (-81.9402942 26.4602397,-81.940315 26.4602484,-81.9403313 26.460263,-81.940341 26.4602817,-81.9403429 26.4603035,-81.9403364 26.4603233,-81.9403228 26.4603399,-81.940296 26.4603539,-81.9402731 26.4603562,-81.9402507 26.4603515,-81.9402313 26.46034,-81.9402177 26.4603234,-81.9402111 26.4603037,-81.9402142 26.4602781,-81.9402251 26.46026,-81.9402424 26.4602464,-81.9402638 26.4602388,-81.9402942 26.4602397)",2284,98037982,98037982,11008838,Blackbeard Way,residential,False,False,41.214,,,,,,,,,,,0.0
"LINESTRING (-81.9402942 26.4602397,-81.940339 26.46005,-81.940339 26.459605)",2286,98037982,98037993,11042465,Cortez Way,residential,False,True,71.042,,,,,,,,,,,0.0
"LINESTRING (-81.940339 26.459605,-81.940334 26.458102)",2287,98037993,98037995,11008840,Blackbeard Way,residential,False,False,167.127,,,,,,,,,,,0.0
"LINESTRING (-81.940339 26.459605,-81.940431 26.45956,-81.940645 26.459439,-81.940708 26.459397,-81.940767 26.45935,-81.940818 26.459298,-81.940858 26.459242,-81.940878 26.459178,-81.940884 26.459115,-81.940888 26.45897,-81.940879 26.458229,-81.940882 26.458097)",2288,98037993,98289577,11042464,Cortez Way,residential,False,True,194.029,,,,,,,,,,,0.0
"LINESTRING (-81.940334 26.458102,-81.940339 26.458027)",2290,98037995,98121991,11008840,Blackbeard Way,residential,False,False,8.354,,,,,,,,,,,0.0
"LINESTRING (-81.9395 26.458111,-81.939649 26.458106,-81.940334 26.458102)",2499,98228892,98037995,11030239,Spanish Main Street,residential,True,False,83.035,,,,,,,,,,,0.0
"LINESTRING (-81.940334 26.458102,-81.940882 26.458097)",2292,98037995,98289577,11030239,Spanish Main Street,residential,True,False,54.555,,,,,,,,,,,0.0
"LINESTRING (-81.9288898 26.4414045,-81.9289721 26.4414505,-81.9290953 26.4415194,-81.9291616 26.4415564)",2295,98041592,98178963,11041092,Estero Boulevard,secondary,False,False,31.899,2,CR 865,,,25 mph,,,,,,245.17288370019028
"LINESTRING (-81.9288898 26.4414045,-81.9284612 26.4411649)",2293,98041592,5741904810,11041092,Estero Boulevard,secondary,False,True,50.307,2,CR 865,,,25 mph,,,,,,152.2297657527729
"LINESTRING (-81.9288898 26.4414045,-81.9288371 26.4414639,-81.92883 26.441472,-81.9287425 26.4415561,-81.928727 26.441571,-81.9285858 26.4416879)",2294,98041592,5741904811,11009159,Saint Peters Drive,residential,False,False,43.772,,,,,,,,,,,102.90741157932241
"LINESTRING (-81.927594 26.442294,-81.9275 26.442297,-81.9274058 26.4423281)",2296,98041609,98041614,11009159,Saint Peters Drive,residential,False,False,19.361,,,,,,,,,,,1794.2023668784948
"LINESTRING (-81.927594 26.442294,-81.927749 26.44231,-81.92783 26.442296,-81.927903 26.442253,-81.9281076 26.4420837)",2298,98041609,5741904813,11009159,Saint Peters Drive,residential,False,True,60.184,,,,,,,,,,,605.0070885256414
"LINESTRING (-81.9274058 26.4423281,-81.927346 26.442366,-81.927201 26.442492,-81.9260618 26.4434237)",2299,98041614,98041618,11009159,Saint Peters Drive,residential,False,False,181.025,,,,,,,,,,,1294.4925915862177
"LINESTRING (-81.9260618 26.4434237,-81.9260355 26.4434081,-81.9260049 26.4434015,-81.9259736 26.4434047,-81.9259453 26.4434173,-81.9259236 26.4434377,-81.925911 26.4434635,-81.9259089 26.4434917,-81.9259177 26.4435188,-81.9259364 26.4435415,-81.9259598 26.4435561,-81.9259871 26.4435634,-81.9260156 26.4435629,-81.9260425 26.4435544,-81.9260651 26.4435389,-81.9260813 26.4435179,-81.9260894 26.4434935,-81.9260887 26.443468,-81.9260792 26.4434439,-81.9260618 26.4434237)",2303,98041618,98041618,11028404,Saint Peters Drive,residential,True,False,56.612,,,,,,,,,,,655.5592415746903
"LINESTRING (-81.948484 26.449852,-81.9484915 26.4503472)",2304,98048423,5718334232,11009723,Miramar Street,residential,False,False,55.069,,,,,,,,,,,83.65779919746979
"LINESTRING (-81.948497 26.4507052,-81.9484961 26.4506372,-81.9484942 26.4505228)",2307,98048425,5718334234,11009723,Miramar Street,residential,False,True,20.284,,,,,,,,,,,84.81565371471507
"LINESTRING (-81.948497 26.4507052,-81.9488979 26.4508312)",2305,98048425,5720786974,882352979,Estero Boulevard,secondary,False,False,42.299,2,CR 865,,,25 mph,,,,,,223.2635783204713
"LINESTRING (-81.948497 26.4507052,-81.9483989 26.4506695,-81.9482302 26.450608)",2308,98048425,5723054253,882352979,Estero Boulevard,secondary,False,True,28.676,2,CR 865,,,25 mph,,,,,,86.05219737390905
"LINESTRING (-81.948497 26.4507052,-81.9484973 26.4507633,-81.9485014 26.450991)",2306,98048425,5723054254,11009723,Miramar Street,residential,False,False,31.783,,,,,,,,,,,318.3875096304672
"LINESTRING (-81.948553 26.454381,-81.9485014 26.450991)",2309,98048440,5723054254,11009723,Miramar Street,residential,False,True,376.986,,,,,,,,,,,795.5472251014428
"LINESTRING (-81.926676 26.4401562,-81.9265693 26.4400957,-81.9263372 26.4399641,-81.9262169 26.4398959,-81.9260999 26.4398295,-81.9260258 26.4397874)",2312,98052548,98117718,11041092,Estero Boulevard,secondary,False,True,76.632,2,CR 865,,,25 mph,,,,,,724.6820321236344
"LINESTRING (-81.926676 26.4401562,-81.9266244 26.4402096,-81.926546 26.44029,-81.9265297 26.4403033,-81.9264659 26.4403557,-81.9264061 26.4404047,-81.926368 26.440436,-81.926185 26.440593,-81.925982 26.440755,-81.924548 26.441939,-81.924375 26.442072,-81.924106 26.441816,-81.923876 26.441576)",2310,98052548,98117723,"[11010100, 11042053]","['Mandalay Road', 'Bayside Road']",residential,False,False,387.224,,,,,,,,,,,1400.734174522967
"LINESTRING (-81.926676 26.4401562,-81.9269772 26.440327,-81.927263 26.4404892,-81.9273263 26.4405251)",2311,98052548,98272754,11041092,Estero Boulevard,secondary,False,False,76.647,2,CR 865,,,25 mph,,,,,,1341.5149745535673
"LINESTRING (-81.8848192 26.4070972,-81.884585 26.407009,-81.884497 26.406965,-81.884452 26.406907,-81.884432 26.406839,-81.884419 26.406594,-81.8844258 26.4063622)",1,98053284,98053295,11010162,Little Carlos Court,residential,False,False,104.071,,,,,,,,,,,0.0
"LINESTRING (-81.8848192 26.4070972,-81.884594 26.4076676,-81.884562 26.4077309,-81.8845141 26.4078093)",2,98053284,98153441,11018481,Estrellita Drive,residential,False,False,84.939,,,,,,,,,,,0.0
"LINESTRING (-81.8848192 26.4070972,-81.884947 26.406756,-81.884981 26.406682,-81.885024 26.406613,-81.885076 26.406567,-81.885367 26.406437,-81.885426 26.406398,-81.88545 26.406327,-81.885438 26.40625,-81.885273 26.405877,-81.8852001 26.4057239)",3,98053284,5095138450,11018481,Estrellita Drive,residential,False,True,184.687,,,,,,,,,,,0.0
"LINESTRING (-81.896134 26.40704,-81.8960677 26.4070915,-81.89604 26.407113,-81.895713 26.407333,-81.895585 26.4074,-81.895513 26.407431,-81.895362 26.40748,-81.895206 26.407513,-81.895133 26.407525,-81.895055 26.407529)",228,98272282,98054683,11037503,Buccaneer Drive,residential,True,False,122.974,,,,,20 mph,,,,,,307.1979136453608
"LINESTRING (-81.895055 26.407529,-81.895101 26.407588,-81.895124 26.40765)",6,98054683,98315980,11037501,Buccaneer Drive,residential,False,True,15.267,,,,,20 mph,,,,,,626.7522708378673
"LINESTRING (-81.895055 26.407529,-81.8950173 26.4074905,-81.894985 26.407441,-81.894955 26.407373,-81.8949163 26.4072769,-81.894889 26.407214,-81.894846 26.407138,-81.894797 26.407066,-81.894741 26.406997,-81.894634 26.406897,-81.894517 26.406806,-81.894337 26.40669,-81.894066 26.406527)",5,98054683,98316007,11037501,Buccaneer Drive,residential,False,False,152.828,,,,,20 mph,,,,,,1090.3752056324665
"LINESTRING (-81.9525569 26.4520107,-81.9524901 26.4520449,-81.9522233 26.4521801,-81.952177 26.4522036,-81.952121 26.452232,-81.952017 26.452311)",2313,98055554,98055560,11010335,Palermo Circle,residential,False,False,63.465,,,,,,,,,,,959.4454664746098
"LINESTRING (-81.9525569 26.4520107,-81.9526703 26.4520473,-81.9527128 26.452061)",2314,98055554,98272648,882352979,Estero Boulevard,secondary,False,False,16.498,2,CR 865,,,25 mph,,,,,,221.09400626388543
"LINESTRING (-81.9525569 26.4520107,-81.9523924 26.4519576,-81.9522421 26.451909,-81.9521419 26.4518767)",2315,98055554,98272651,882352979,Estero Boulevard,secondary,False,True,43.92,2,CR 865,,,25 mph,,,,,,114.90862985709971
"LINESTRING (-81.952017 26.452311,-81.951968 26.452364,-81.951841 26.452549,-81.951763 26.45268,-81.95173 26.452749,-81.951682 26.452897,-81.951652 26.453053,-81.951639 26.453206)",2316,98055560,98055574,11010335,Palermo Circle,residential,False,False,108.45,,,,,,,,,,,2666.954881537613
"LINESTRING (-81.952017 26.452311,-81.9518934 26.452257,-81.9512124 26.4520247)",2318,98055560,5711385436,11017725,Santos Road,residential,False,False,86.242,,,,,,,,,,,1013.7859396431893
"LINESTRING (-81.951639 26.453206,-81.951703 26.45516,-81.951695 26.455225,-81.951651 26.455277)",2320,98055574,98055589,11010338,Palermo Circle,residential,False,False,231.894,,,,,,,,,,,5251.578437984891
"LINESTRING (-81.951651 26.455277,-81.9516548 26.4553308,-81.9517045 26.4554009,-81.951822 26.4554616,-81.9520629 26.4555762)",2324,98055589,8192978029,880874066,,service,False,False,55.888,,,,,,,,,,,1146.3883851327557
"LINESTRING (-81.9390591 26.4465554,-81.9386745 26.446369,-81.9382781 26.4461421,-81.937981 26.445972)",2327,98059314,98059337,11010657,Seaview Street,unclassified,False,True,125.49,,,,,,,,,,,32.50985693080927
"LINESTRING (-81.9390591 26.4465554,-81.9391036 26.4464572,-81.9391492 26.4463227)",2326,98059314,2213554502,11010656,Seaview Street,unclassified,False,True,27.414,,,,,,,,,,,0.0
"LINESTRING (-81.9390591 26.4465554,-81.9389785 26.4467315)",2325,98059314,5736734599,11010656,Seaview Street,unclassified,False,False,21.162,,,,,,,,,,,0.0
"LINESTRING (-81.938955 26.446783,-81.9389785 26.4467315)",2328,98059316,5736734599,11010656,Seaview Street,unclassified,False,True,6.186,,,,,,,,,,,0.0
"LINESTRING (-81.938955 26.446783,-81.9388144 26.4466983)",2329,98059316,5736939798,604683570,,service,False,True,16.871,,,,,,,,,,,0.0
"LINESTRING (-81.938955 26.446783,-81.938935 26.446855,-81.938927 26.446924,-81.938934 26.446999,-81.9389419 26.4470395)",2330,98059316,5736939799,11010656,Seaview Street,unclassified,False,False,28.905,,,,,,,,,,,0.0
"LINESTRING (-81.938946 26.447308,-81.9393989 26.4474688)",2331,98059330,98272699,882352979,Estero Boulevard,secondary,False,False,48.506,2,CR 865,,,25 mph,,,,,,0.4496522397069054
"LINESTRING (-81.938946 26.447308,-81.938974 26.447205,-81.9389419 26.4470395)",2332,98059330,5736939799,11010656,Seaview Street,unclassified,False,True,30.465,,,,,,,,,,,0.0
"LINESTRING (-81.938946 26.447308,-81.938789 26.447244,-81.938658 26.447178,-81.9385375 26.4471016)",2333,98059330,5742089180,11041092,Estero Boulevard,secondary,False,True,46.839,2,CR 865,,,25 mph,,,,,,21.67323795387285
"LINESTRING (-81.938946 26.447308,-81.938916 26.4473662,-81.938863 26.4474688)",2334,98059330,5742089181,882352980,Bay Road,unclassified,False,False,19.698,,,,,,,,,,,0.4496522397069054
"LINESTRING (-81.912106 26.432122,-81.912489 26.432113,-81.91256 26.43212,-81.912631 26.432148,-81.912702 26.432194,-81.912755 26.432238,-81.913012 26.432471,-81.913219 26.432645)",9,98062323,98062337,11010922,Oak Ridge Avenue,residential,False,False,133.592,,,,,,,,,,,207.4020955648102
"LINESTRING (-81.912106 26.432122,-81.912109 26.432351)",7,98062323,98203979,11038311,Lazy Way,residential,False,False,25.465,,,,,,,,,,,32.15013513904375
"LINESTRING (-81.912106 26.432122,-81.912105 26.4316748)",8,98062323,98286233,11038311,Lazy Way,residential,False,True,49.727,,,,,,,,,,,35.23025298103605
"LINESTRING (-81.913219 26.432645,-81.913557 26.432923,-81.913639 26.432986)",10,98062337,98062341,11010922,Oak Ridge Avenue,residential,False,False,56.455,,,,,,,,,,,1137.2379620547204
"LINESTRING (-81.913219 26.432645,-81.913415 26.432466,-81.913541 26.432351,-81.913871 26.432065)",12,98062337,98231946,11038625,Dakota Avenue,residential,False,True,91.517,,,,,,,,,,,617.333180546607
"LINESTRING (-81.908071 26.425265,-81.907994 26.425342,-81.907901 26.425489)",16,98074455,98272162,11041705,Gulf Drive,residential,False,True,30.28,,,,,,,,,,,152.16231791681687
"LINESTRING (-81.908071 26.425265,-81.908382 26.425036)",14,98074455,98440048,11041705,Gulf Drive,residential,False,False,40.093,,,,,,,,,,,353.3367299616864
"LINESTRING (-81.908071 26.425265,-81.908038 26.425204,-81.9080176 26.4251749,-81.907998 26.425147,-81.9079877 26.4251351,-81.9079309 26.4250698,-81.907874 26.4250043,-81.9078149 26.4249363)",15,98074455,5789781071,11011944,Gulf Road,residential,False,False,44.711,,,,,,,,,,,183.68293992027097
"LINESTRING (-81.907005 26.424041,-81.9070644 26.4241094)",17,98074465,5789834735,11011944,Gulf Road,residential,False,True,9.635,,,,,,,,,,,14.90597174628392
"LINESTRING (-81.9437075 26.448074,-81.9435458 26.4483827)",2336,98082846,98082848,11012662,Chapel Street,residential,False,False,37.913,,,,,,,,,,,363.49324992606614
"LINESTRING (-81.9435458 26.4483827,-81.9433724 26.448882)",2337,98082848,98082850,11012662,Chapel Street,residential,False,False,58.142,,,,,,,,,,,216.97968827056727
"LINESTRING (-81.9435458 26.4483827,-81.944227 26.4486304)",2340,98082848,98336950,11034551,Cottage Avenue,residential,False,True,73.198,,,,,,,,,,,102.41953889924042
"LINESTRING (-81.9435458 26.4483827,-81.9429218 26.4481549)",2339,98082848,5725934718,11034551,Cottage Avenue,residential,False,False,67.089,,,,,,,,,,,83.40486981263464
"LINESTRING (-81.9433724 26.448882,-81.9433414 26.4488711,-81.9427731 26.4486705)",2344,98082850,98161355,882352979,Estero Boulevard,secondary,False,True,64.132,2,CR 865,,,25 mph,,,,,,141.59661441430384
"LINESTRING (-81.9433724 26.448882,-81.9437055 26.4489991,-81.9440127 26.4491071)",2343,98082850,98272694,882352979,Estero Boulevard,secondary,False,False,68.484,2,CR 865,,,25 mph,,,,,,143.6695112393527
"LINESTRING (-81.9433724 26.448882,-81.9433704 26.4489467,-81.943366 26.44906,-81.9433666 26.4491455)",2342,98082850,5723831270,11012662,Chapel Street,residential,False,False,29.31,,,,,,,,,,,244.36013727692
"LINESTRING (-81.9433715 26.4498836,-81.943385 26.450528)",2345,98082860,98082863,11012662,Chapel Street,residential,False,False,71.667,,,,,,,,,,,4799.970211035261
"LINESTRING (-81.9433715 26.4498836,-81.9432203 26.4498686)",2347,98082860,5723831268,603092379,Avocado Street,service,False,True,15.145,,,,,,,,,,,233.15817585522177
"LINESTRING (-81.9433715 26.4498836,-81.9433666 26.4491455)",2346,98082860,5723831270,11012662,Chapel Street,residential,False,True,82.075,,,,,,,,,,,331.63201635103405
"LINESTRING (-81.9475269 26.4503549,-81.9475273 26.4502873,-81.947505 26.4495477)",2350,98086066,98086072,11012924,Palm Avenue,residential,False,False,89.787,,,,,,,,,,,21.718203177843534
"LINESTRING (-81.9475269 26.4503549,-81.9476039 26.4503822)",2349,98086066,5718334238,882352979,Estero Boulevard,secondary,False,False,8.245,2,CR 865,,,25 mph,,,,,,0.9442697033845016
"LINESTRING (-81.9475269 26.4503549,-81.9474142 26.4503148,-81.9473216 26.450282)",2351,98086066,5723054282,882352979,Estero Boulevard,secondary,False,True,21.987,2,CR 865,,,25 mph,,,,,,0.0
"LINESTRING (-81.946891 26.464432,-81.946872 26.463274,-81.946858 26.461919,-81.946844 26.461111,-81.946826 26.460978,-81.946762 26.460746,-81.946751 26.460679,-81.946745 26.460603,-81.946744 26.460519,-81.946755 26.460379,-81.946761 26.460356,-81.946774 26.460307,-81.946811 26.460235,-81.946917 26.460124,-81.947034 26.460021)",2353,98087989,98123675,11013013,Emily Lane,residential,False,True,501.34,,,,,,,,,,,182.78363544085713
"LINESTRING (-81.912101 26.431476,-81.911187 26.431482,-81.910893 26.43149,-81.910259 26.431486)",20,98087995,98088001,11013014,Pepita Street,residential,False,False,183.429,,,,,,,,,,,123.11478323175075
"LINESTRING (-81.912101 26.431476,-81.912105 26.4316748)",18,98087995,98286233,11038311,Lazy Way,residential,False,False,22.109,,,,,,,,,,,84.21986449710342
"LINESTRING (-81.912101 26.431476,-81.912099 26.430994)",19,98087995,98379275,11038311,Lazy Way,residential,False,True,53.596,,,,,,,,,,,789.5443677013554
"LINESTRING (-81.904909 26.423218,-81.9048059 26.4232811,-81.9047103 26.4233448)",24,98093609,98093611,11013467,Bahia Via,residential,False,False,24.301,,,,,,,,,,,3.516280514508001
"LINESTRING (-81.904909 26.423218,-81.905143 26.423571)",23,98093609,98272222,719594952,Estero Boulevard,secondary,False,True,45.647,2,CR 865,,,25 mph,,,,,,10.746688528995044
"LINESTRING (-81.904909 26.423218,-81.9048436 26.4231214)",22,98093609,1335983175,719594952,Estero Boulevard,secondary,False,False,12.561,2,CR 865,,,25 mph,,,,,,1.146613211252609
"LINESTRING (-81.9047103 26.4233448,-81.9045054 26.4230508)",26,98093611,1390578786,125133582,,service,True,False,38.536,,,,parking_aisle,,,,,,,2.050414213063489
"LINESTRING (-81.9047103 26.4233448,-81.9045607 26.4234512)",25,98093611,1390578798,11013467,Bahia Via,residential,False,False,19.024,,,,,,,,,,,3.066628274801096
"LINESTRING (-81.9045097 26.4234881,-81.9047143 26.4237976,-81.9050092 26.4236417,-81.905143 26.423571)",30,98093613,98272222,125133580,,service,False,True,89.564,,,,parking_aisle,,,,,,,88.46907816233367
"LINESTRING (-81.9045097 26.4234881,-81.9045607 26.4234512)",29,98093613,1390578798,11013467,Bahia Via,residential,False,True,6.529,,,,,,,,,,,78.53176366481107
"LINESTRING (-81.9045097 26.4234881,-81.9035041 26.4242302)",28,98093613,7016372995,11013467,Bahia Via,residential,False,False,129.755,,,,,,,,,,,147.48593462386503
"LINESTRING (-81.902299 26.42512,-81.902394 26.425053,-81.902648 26.424862,-81.9035041 26.4242302)",31,98093619,7016372995,11013467,Bahia Via,residential,False,True,155.534,,,,,,,,,,,213.4724008008534
"LINESTRING (-81.905418 26.426031,-81.905301 26.42612,-81.90502 26.42632,-81.904156 26.426956,-81.90366 26.427316,-81.903605 26.427376,-81.903581 26.42744,-81.903578 26.427511,-81.9036 26.427581,-81.903652 26.427655,-81.903708 26.427751,-81.903729 26.427833,-81.903715 26.42799,-81.903632 26.42854,-81.903571 26.428674,-81.903509 26.428789,-81.90347 26.428874,-81.903439 26.428976,-81.903423 26.429086,-81.903416 26.429231,-81.903427 26.429354,-81.903454 26.429473,-81.903492 26.429574,-81.903569 26.429704,-81.903711 26.429929,-81.903836 26.430186,-81.904004 26.430562,-81.904028 26.430631,-81.904047 26.430767,-81.904064 26.430832,-81.904163 26.431017)",32,98096713,98096766,11013758,Widgeon Terrace,residential,False,False,663.068,,,,,,,,,,,5.215965980600104
"LINESTRING (-81.905418 26.426031,-81.905498 26.42597,-81.905579 26.425893,-81.905642 26.425772,-81.905659 26.425699,-81.90566 26.425623,-81.905671 26.425485)",33,98096713,98420994,11039871,Noddy Tern Drive,residential,False,True,69.198,,,,,,,,,,,60.25340012072535
"LINESTRING (-81.905418 26.426031,-81.905492 26.42614,-81.905527 26.42621,-81.905582 26.426347,-81.905597 26.426417,-81.905603 26.426488,-81.905609 26.426762,-81.905601 26.42705,-81.905605 26.42727,-81.9056173 26.4273515,-81.905622 26.427383,-81.9056551 26.4274199)",34,98096713,6304043722,"[859994986, 859994987]",Bay Village Drive,residential,False,True,159.658,,,private,,,,,,,,5.215965980600104
"LINESTRING (-81.88826 26.40546,-81.888269 26.406148)",36,98098767,98098769,11013927,Sand Dollar Drive,residential,False,False,76.507,,,,,20 mph,,,,,,333.57451402656795
"LINESTRING (-81.888269 26.406148,-81.888156 26.406129,-81.888069 26.406108,-81.887461 26.405937,-81.887294 26.405903,-81.887211 26.405893,-81.887128 26.405889)",38,98098769,98166591,11030442,Lagoon Road,residential,False,False,117.568,,,,,20 mph,,,,,,293.26319073684385
"LINESTRING (-81.888269 26.406148,-81.888418 26.406162,-81.888823 26.40616,-81.889083 26.406153,-81.889455 26.406152)",39,98098769,98285620,11030442,Lagoon Road,residential,False,True,118.212,,,,,20 mph,,,,,,646.5549554745594
"LINESTRING (-81.9467846 26.4500913,-81.9468436 26.4501123)",2354,98103826,3547654570,882352979,Estero Boulevard,secondary,False,False,6.321,2,CR 865,,,25 mph,,,,,,3.574735305669899
"LINESTRING (-81.9467846 26.4500913,-81.9467849 26.4501555,-81.946785 26.4504306)",2356,98103826,5723054291,127686064,Virginia Avenue,residential,False,False,37.729,,,,,,,,,,,141.64045550767523
"LINESTRING (-81.9467846 26.4500913,-81.9464732 26.4499807)",2355,98103826,5723054293,882352979,Estero Boulevard,secondary,False,True,33.352,2,CR 865,,,25 mph,,,,,,17.221680780774484
"LINESTRING (-81.9467855 26.450861,-81.9473105 26.4509963)",2357,98103830,5723054281,11023853,Bayview Drive,residential,False,True,54.388,,,,,,,,,,,1270.514885903847
"LINESTRING (-81.9467855 26.450861,-81.946785 26.4504306)",2358,98103830,5723054291,127686064,Virginia Avenue,residential,False,True,47.858,,,,,,,,,,,1072.6454178208232
"LINESTRING (-81.9467855 26.450861,-81.9467789 26.4537097,-81.946801 26.4538081)",2359,98103830,9072265089,127686064,Virginia Avenue,residential,False,False,327.923,,,,,,,,,,,1709.6677458135964
"LINESTRING (-81.9110969 26.4276028,-81.9108819 26.4277781,-81.910741 26.427893)",40,98105248,98105250,11014442,Aberdeen Avenue,residential,False,False,47.929,,,,,,,,,,,45.29122184447806
"LINESTRING (-81.910741 26.427893,-81.9106792 26.4279487,-81.910609 26.428012,-81.9105906 26.4280275,-81.9104853 26.4281159,-81.910333 26.4282437,-81.909955 26.428561)",41,98105250,98105254,11014442,Aberdeen Avenue,residential,False,False,107.911,,,,,,,,,,,297.2988195882133
"LINESTRING (-81.910741 26.427893,-81.9109032 26.4280472,-81.9109776 26.428118,-81.9110634 26.4281996)",44,98105250,5784803684,11028771,Estero Boulevard,secondary,False,True,46.828,2,CR 865,,,25 mph,,,,,,193.09191303613792
"LINESTRING (-81.910741 26.427893,-81.910583 26.4277419,-81.9105093 26.4276714)",43,98105250,5804668999,11028771,Estero Boulevard,secondary,False,False,33.756,2,CR 865,,,25 mph,,,,,,16.15375671147058
"LINESTRING (-81.909955 26.428561,-81.910242 26.42884)",45,98105254,98241918,11026561,Lauder Street,residential,False,True,42.18,,,,,,,,,,,840.310105564265
"LINESTRING (-81.909955 26.428561,-81.909686 26.428312,-81.909198 26.427845,-81.909125 26.4277835)",47,98105254,98241924,11026561,Lauder Street,residential,False,False,119.622,,,,,,,,,,,748.9182878438367
"LINESTRING (-81.9538424 26.4652131,-81.954109 26.465333,-81.954273 26.46541,-81.95443 26.465494,-81.9545614 26.4655723)",2360,98113243,7016483561,11015138,North Street,residential,False,False,82.053,,,,,,,,,,,0.0
"LINESTRING (-81.9555593 26.4659889,-81.9554217 26.4660382,-81.9553411 26.4660452,-81.9552757 26.466029,-81.9552042 26.4659913,-81.9549805 26.4658309,-81.9547949 26.4657021,-81.9545882 26.4655883,-81.9545707 26.4655779,-81.9545614 26.4655723)",2361,98113261,7016483561,11015138,North Street,residential,False,True,117.097,,,,,,,,,,,0.0
