WKT,fid,u,v,osmid,name,highway,oneway,reversed,length,lanes,ref,access,service,maxspeed,bridge,junction,tunnel,area,width,split_CYD
"LINESTRING (-81.8880576 26.5217543,-81.8877102 26.5217538)",369,98021155,2912378495,750068459,Summerlin Center Drive,residential,False,False,34.564,,,,,,,,,,,0.0
"LINESTRING (-81.8880576 26.5217543,-81.8882815 26.5217536)",370,98021155,9462326569,750068459,Summerlin Center Drive,residential,False,True,22.277,,,,,,,,,,,0.0
"LINESTRING (-81.8880576 26.5217543,-81.8881016 26.521791,-81.888134 26.52184,-81.888155 26.5219001,-81.8881544 26.5219825)",371,98021155,98021151,11007051,,residential,False,False,28.481,,,,,,,,,,,82.75
"LINESTRING (-81.868044 26.5328821,-81.8683094 26.5327841)",372,98021231,7013543238,750035398,,service,False,True,28.563,,,destination,,,,,,,,0.0
"LINESTRING (-81.868044 26.5328821,-81.868066 26.532943,-81.868083 26.533014,-81.868087 26.533085,-81.868086 26.5333101)",373,98021231,7087922822,11012559,Gamma Drive,residential,False,True,48.126,,,,,,,,,,,0.0
"LINESTRING (-81.868044 26.5328821,-81.867879 26.532752,-81.867795 26.532736,-81.867723 26.532729,-81.8676924 26.5327294)",374,98021231,7087922824,11013634,Bruner Lane,residential,False,False,40.674,,,,,,,,,,,16.0
"LINESTRING (-81.896709 26.526655,-81.8967205 26.5260079,-81.897294 26.526009)",407,98022211,98145614,"[11017856, 11007198]",Bridle Lane,residential,False,True,129.021,,,,,,,,,,,36.5
"LINESTRING (-81.8713781 26.5306888,-81.8713728 26.5303513)",413,98022475,98022506,751781179,South Cleveland Avenue,primary,True,False,37.532,3,US 41,,,45 mph,,,,,,0.0
"LINESTRING (-81.8713781 26.5306888,-81.8715129 26.530685,-81.872608 26.530654)",414,98022475,98022479,11007217,Lakes Park RV,residential,False,False,122.418,,,,,,,,,,,0.0
"LINESTRING (-81.872608 26.530654,-81.8726055 26.5303074)",415,98022479,98022497,11007220,,residential,False,True,38.541,,,,,,,,,,,0.0
"LINESTRING (-81.872608 26.530654,-81.8726765 26.5306524,-81.8727366 26.5306784,-81.8727779 26.5307347,-81.8728746 26.5308413,-81.8730066 26.5308394)",416,98022479,1795962708,11007217,Lakes Park RV,residential,False,False,49.346,,,,,,,,,,,0.0
"LINESTRING (-81.872608 26.530654,-81.8715129 26.530685,-81.8713781 26.5306888)",417,98022479,98022475,11007217,Lakes Park RV,residential,False,True,122.418,,,,,,,,,,,0.0
"LINESTRING (-81.8733447 26.5308346,-81.8733279 26.5298605)",418,98022484,98022493,11007217,Lakes Park RV,residential,False,False,108.328,,,,,,,,,,,0.0
"LINESTRING (-81.8733447 26.5308346,-81.8730066 26.5308394)",419,98022484,1795962708,11007217,Lakes Park RV,residential,False,True,33.64,,,,,,,,,,,0.0
"LINESTRING (-81.8733447 26.5308346,-81.8734116 26.5308717,-81.8734352 26.5309499,-81.8734292 26.5312341,-81.8734218 26.5315883)",420,98022484,1795962762,168302951,Lakes Park RV,residential,False,False,87.836,,,,,,,,,,,0.0
"LINESTRING (-81.8733279 26.5298605,-81.8729583 26.529875)",421,98022493,1795962758,11007217,Lakes Park RV,residential,False,False,36.806,,,,,,,,,,,0.0
"LINESTRING (-81.8733279 26.5298605,-81.8733447 26.5308346)",422,98022493,98022484,11007217,Lakes Park RV,residential,False,True,108.328,,,,,,,,,,,0.0
"LINESTRING (-81.8733279 26.5298605,-81.873315 26.5284959)",423,98022493,1795962776,168302950,Lakes Park RV,residential,False,False,151.742,,,,,,,,,,,0.0
"LINESTRING (-81.8726055 26.5303074,-81.8726075 26.5301341)",424,98022497,1795962755,11007217,Lakes Park RV,residential,False,True,19.271,,,,,,,,,,,0.0
"LINESTRING (-81.8726055 26.5303074,-81.872608 26.530654)",425,98022497,98022479,11007220,,residential,False,False,38.541,,,,,,,,,,,0.0
"LINESTRING (-81.8726055 26.5303074,-81.8715101 26.5303464,-81.8713728 26.5303513)",426,98022497,98022506,11007217,Lakes Park RV,residential,False,False,122.733,,,,,,,,,,,0.0
"LINESTRING (-81.8713728 26.5303513,-81.8713692 26.5299515)",427,98022506,7011291898,751781179,South Cleveland Avenue,primary,True,False,44.457,3,US 41,,,45 mph,,,,,,0.0
"LINESTRING (-81.8713728 26.5303513,-81.8715101 26.5303464,-81.8726055 26.5303074)",428,98022506,98022497,11007217,Lakes Park RV,residential,False,True,122.733,,,,,,,,,,,0.0
"LINESTRING (-81.8715373 26.5246602,-81.872001 26.524654)",445,98023184,98312217,11033743,Old Gladiolus Drive,residential,False,True,46.139,,,,,,,,,,,16.166666666666668
"LINESTRING (-81.918314 26.527039,-81.91831 26.526273)",585,98027842,98027843,127701270,Las Casas Drive,residential,False,False,85.176,,,,,,,,,,,146.1
"LINESTRING (-81.918314 26.527039,-81.918723 26.527044,-81.918815 26.527066)",586,98027842,98170391,11048208,Mar Largo Circle,residential,False,True,50.169,,,,,,,,,,,39.333333333333336
"LINESTRING (-81.918314 26.527039,-81.917703 26.527049,-81.916922 26.527055,-81.916472 26.527063,-81.916401 26.527084)",587,98027842,98080660,606676973,Mar Largo Circle,residential,False,False,190.721,,,,,,,,,,,40.833333333333336
"LINESTRING (-81.91831 26.526273,-81.918311 26.526128)",588,98027843,98027845,127701270,Las Casas Drive,residential,False,False,16.124,,,,,,,,,,,178.2
"LINESTRING (-81.91831 26.526273,-81.918314 26.527039)",589,98027843,98027842,127701270,Las Casas Drive,residential,False,True,85.176,,,,,,,,,,,146.1
"LINESTRING (-81.91831 26.526273,-81.918386 26.526258,-81.918466 26.526252,-81.918555 26.526254,-81.918699 26.526271,-81.918941 26.526327,-81.919021 26.526333,-81.919105 26.526329,-81.919191 26.526313,-81.919274 26.526288,-81.91936 26.526267,-81.919526 26.526242,-81.919597 26.526241,-81.919695 26.526245)",590,98027843,98099006,11013938,Casa del Mar Boulevard,residential,True,False,140.157,,,,,,,,,,,137.4
"LINESTRING (-81.918311 26.526128,-81.91831 26.526273)",591,98027845,98027843,127701270,Las Casas Drive,residential,False,True,16.124,,,,,,,,,,,178.2
"LINESTRING (-81.918311 26.526128,-81.918311 26.525981,-81.918297 26.52591,-81.918266 26.525846,-81.918212 26.525787,-81.918142 26.525746,-81.918061 26.525715,-81.917989 26.525697,-81.91792 26.525673,-81.917857 26.525639,-81.917797 26.525597,-81.917739 26.525544,-81.917691 26.525487,-81.917654 26.52543,-81.917624 26.52537,-81.917596 26.525289,-81.917586 26.525218,-81.917587 26.52514,-81.917595 26.525058,-81.917654 26.524687,-81.917657 26.524623,-81.917636 26.524542,-81.917608 26.524484,-81.917542 26.5244)",592,98027845,98027876,127701270,Las Casas Drive,residential,False,False,229.906,,,,,,,,,,,181.93333333333334
"LINESTRING (-81.917542 26.5244,-81.91777 26.524159,-81.917859 26.524078,-81.917928 26.524032,-81.91801 26.524009,-81.9189735 26.5240079)",593,98027876,7562148366,11017188,La Linda Way,residential,False,False,160.711,,,,,,,,,,,208.5
"LINESTRING (-81.917542 26.5244,-81.917451 26.524345,-81.917364 26.524321,-81.917279 26.524314,-81.916315 26.524312,-81.916239 26.524318,-81.916167 26.524338,-81.916106 26.524378,-81.916047 26.524435,-81.91589 26.524614)",594,98027876,98027890,127701270,Las Casas Drive,residential,False,False,180.943,,,,,,,,,,,138.83333333333331
"LINESTRING (-81.917542 26.5244,-81.917608 26.524484,-81.917636 26.524542,-81.917657 26.524623,-81.917654 26.524687,-81.917595 26.525058,-81.917587 26.52514,-81.917586 26.525218,-81.917596 26.525289,-81.917624 26.52537,-81.917654 26.52543,-81.917691 26.525487,-81.917739 26.525544,-81.917797 26.525597,-81.917857 26.525639,-81.91792 26.525673,-81.917989 26.525697,-81.918061 26.525715,-81.918142 26.525746,-81.918212 26.525787,-81.918266 26.525846,-81.918297 26.52591,-81.918311 26.525981,-81.918311 26.526128)",595,98027876,98027845,127701270,Las Casas Drive,residential,False,True,229.906,,,,,,,,,,,181.93333333333334
"LINESTRING (-81.91589 26.524614,-81.91595 26.524674,-81.916089 26.524771,-81.916145 26.524817,-81.916192 26.52487,-81.916219 26.524934,-81.916238 26.525005,-81.916266 26.525154,-81.916345 26.525497,-81.916347 26.525571,-81.91633 26.525635)",596,98027890,98054764,11030061,Casa Mar Circle,residential,False,False,128.589,,,,,,,,,,,20.5
"LINESTRING (-81.91589 26.524614,-81.9155471 26.5243755,-81.9154896 26.5243407,-81.9154362 26.5243219,-81.915377 26.5243059,-81.9153131 26.5243038,-81.913904 26.5242972,-81.9138255 26.5243045,-81.9137558 26.5243212,-81.9136837 26.524361,-81.9136376 26.524403,-81.9135979 26.5244653,-81.913576 26.5245342,-81.9135501 26.5247552,-81.9135242 26.5249957,-81.9135129 26.5250935,-81.9134918 26.5251711,-81.9134513 26.5253261,-81.913437 26.5254177)",597,98027890,1412809414,11030061,Casa Mar Circle,residential,False,True,353.854,,,,,,,,,,,20.5
"LINESTRING (-81.91589 26.524614,-81.9154157 26.5251679,-81.9153611 26.5252322,-81.9153216 26.5252676,-81.915275 26.5252975,-81.9152305 26.5253183,-81.9147658 26.5254659,-81.9146737 26.5254922,-81.9145877 26.5255067,-81.9140542 26.5255248,-81.9139753 26.5255148,-81.913437 26.5254177)",598,98027890,1412809414,127701270,Las Casas Drive,residential,False,False,285.893,,,,,,,,,,,20.5
"LINESTRING (-81.91589 26.524614,-81.916047 26.524435,-81.916106 26.524378,-81.916167 26.524338,-81.916239 26.524318,-81.916315 26.524312,-81.917279 26.524314,-81.917364 26.524321,-81.917451 26.524345,-81.917542 26.5244)",599,98027890,98027876,127701270,Las Casas Drive,residential,False,True,180.943,,,,,,,,,,,138.83333333333331
"LINESTRING (-81.891939 26.515202,-81.8919318 26.5145918)",632,98029304,7016327074,11008086,Liberty Square,residential,False,True,67.855,,,,,,,,,,,233.5
"LINESTRING (-81.891939 26.515202,-81.891944 26.51536,-81.891947 26.515875)",633,98029304,98029308,11008086,Liberty Square,residential,False,False,74.842,,,,,,,,,,,186.16666666666669
"LINESTRING (-81.891939 26.515202,-81.890941 26.51521,-81.890157 26.515227)",634,98029304,98209094,11023513,Liberty Lane,residential,False,True,177.334,,,,,,,,,,,220.33333333333334
"LINESTRING (-81.891947 26.515875,-81.8919543 26.5160822)",635,98029308,8406796511,11008086,Liberty Square,residential,False,False,23.051,,,,,,,,,,,131.0
"LINESTRING (-81.891947 26.515875,-81.891944 26.51536,-81.891939 26.515202)",636,98029308,98029304,11008086,Liberty Square,residential,False,True,74.842,,,,,,,,,,,186.16666666666669
"LINESTRING (-81.891947 26.515875,-81.891888 26.5158849,-81.8918379 26.5158849,-81.8917574 26.5158716,-81.8916543 26.5158604)",637,98029308,8406796500,905261040,,service,False,False,29.437,,,,driveway,,,,,,,84.5
"LINESTRING (-81.894171 26.516191,-81.8943089 26.5163777)",638,98029324,7101380532,760173152,,service,False,False,24.885,,,private,driveway,,,,,,,348.16666666666663
"LINESTRING (-81.894171 26.516191,-81.894232 26.516146,-81.8942376 26.5161364)",639,98029324,7591904530,11008086,Liberty Square,residential,False,False,9.07,,,,,,,,,,,631.6666666666666
"LINESTRING (-81.894171 26.516191,-81.894101 26.51621,-81.89403 26.516217,-81.892497 26.516236)",640,98029324,8777262205,11008086,Liberty Square,residential,False,True,166.93,,,,,,,,,,,795.6666666666666
"LINESTRING (-81.894237 26.514226,-81.894197 26.514172,-81.89413 26.514132)",641,98029338,98029340,11008086,Liberty Square,residential,False,False,15.218,,,,,,,,,,,181.66666666666669
"LINESTRING (-81.894237 26.514226,-81.894254 26.514292,-81.8942558 26.5144987)",642,98029338,7016489940,11008086,Liberty Square,residential,False,True,30.516,,,,,,,,,,,276.66666666666663
"LINESTRING (-81.894237 26.514226,-81.894666 26.5141842,-81.8948163 26.5141281)",643,98029338,7016489936,750389132,,service,False,True,59.142,,,private,driveway,,,,,,,104.5
"LINESTRING (-81.89413 26.514132,-81.894054 26.514122,-81.893834 26.514128,-81.8936827 26.5141285)",644,98029340,8793755070,11008086,Liberty Square,residential,False,False,44.597,,,,,,,,,,,235.66666666666669
"LINESTRING (-81.89413 26.514132,-81.894197 26.514172,-81.894237 26.514226)",645,98029340,98029338,11008086,Liberty Square,residential,False,True,15.218,,,,,,,,,,,181.66666666666669
"LINESTRING (-81.89413 26.514132,-81.8942569 26.5140462,-81.8943806 26.5139574,-81.8946622 26.5136892)",646,98029340,7088053665,758913224,,service,False,False,72.525,,,private,driveway,,,,,,,77.16666666666667
"LINESTRING (-81.893091 26.514137,-81.8933603 26.5141321)",647,98029346,8793755076,11008086,Liberty Square,residential,False,True,26.801,,,,,,,,,,,359.5
"LINESTRING (-81.893091 26.514137,-81.89307 26.512903)",648,98029346,98337838,11035543,Cindy Court,residential,False,False,137.231,,,,,,,,,,,451.375
"LINESTRING (-81.893091 26.514137,-81.892211 26.514148,-81.892132 26.514152,-81.892062 26.514162,-81.891994 26.514192)",649,98029346,98029351,11008086,Liberty Square,residential,False,False,110.039,,,,,,,,,,,567.6666666666667
"LINESTRING (-81.891994 26.514192,-81.891952 26.514247)",650,98029351,98029353,11008086,Liberty Square,residential,False,False,7.407,,,,,,,,,,,310.33333333333337
"LINESTRING (-81.891994 26.514192,-81.8918426 26.5139704)",651,98029351,7101380519,760173150,,service,False,False,28.881,,,private,driveway,,,,,,,288.0
"LINESTRING (-81.891994 26.514192,-81.892062 26.514162,-81.892132 26.514152,-81.892211 26.514148,-81.893091 26.514137)",652,98029351,98029346,11008086,Liberty Square,residential,False,True,110.039,,,,,,,,,,,567.6666666666667
"LINESTRING (-81.891952 26.514247,-81.891994 26.514192)",653,98029353,98029351,11008086,Liberty Square,residential,False,True,7.407,,,,,,,,,,,310.33333333333337
"LINESTRING (-81.891952 26.514247,-81.891933 26.514309,-81.8919319 26.5143575)",654,98029353,7016327082,11008086,Liberty Square,residential,False,False,12.543,,,,,,,,,,,57.83333333333333
"LINESTRING (-81.891952 26.514247,-81.89189 26.5142269,-81.8918317 26.5142154,-81.8917436 26.5142052,-81.8916868 26.5141938,-81.8916015 26.5141671,-81.8915532 26.5141353,-81.8915276 26.5141061)",655,98029353,7457329668,797359112,,service,False,False,46.218,,,private,driveway,,,,,,,32.666666666666664
"LINESTRING (-81.901661 26.522255,-81.901749 26.522139,-81.90183 26.522078,-81.9020006 26.5220497,-81.9024881 26.5220527,-81.9026739 26.5220969,-81.9027598 26.522155)",691,98030116,1762750572,11008163,Royal Windsor Lane,residential,False,False,121.731,,,,,,,,,,,0.0
"LINESTRING (-81.901661 26.522255,-81.9016206 26.5223848,-81.9016955 26.5227488)",692,98030116,1762750597,11008163,Royal Windsor Lane,residential,False,True,56.137,,,,,,,,,,,0.0
"LINESTRING (-81.901661 26.522255,-81.901464 26.522151,-81.901409 26.5220694,-81.9013826 26.5219766,-81.9013792 26.521879)",693,98030116,8333366933,164026304,Avalon Bay Boulevard,residential,False,True,54.859,,,,,,,,,,,0.0
"LINESTRING (-81.900902 26.529465,-81.901042 26.52956,-81.901785 26.530114,-81.90186 26.53016,-81.901946 26.530201,-81.902032 26.530231,-81.902113 26.53025,-81.902197 26.530263,-81.902285 26.530268,-81.902621 26.530266,-81.902808 26.530258,-81.902907 26.530269,-81.902969 26.530302,-81.903008 26.530366,-81.90302 26.530437,-81.903023 26.530636,-81.903026 26.530851,-81.903018 26.530921,-81.9029986 26.5309508)",801,98032266,7014411658,"[11008376, 715296776]","['South Larkwood Square', 'North Larkwood Square']",residential,False,True,310.154,,,,,,,,,,,442.16666666666663
"LINESTRING (-81.900902 26.529465,-81.900946 26.5294,-81.901026 26.529261)",802,98032266,98073966,11011905,Kimberly Terrace,residential,False,False,25.835,,,,,,,,,,,268.8333333333333
"LINESTRING (-81.900902 26.529465,-81.900788 26.529607,-81.900722 26.529679,-81.900652 26.529748,-81.900484 26.529876)",803,98032266,98073955,11011905,Kimberly Terrace,residential,False,True,62.11,,,,,,,,,,,152.5
"LINESTRING (-81.8788266 26.5170432,-81.8788098 26.5170688,-81.8788031 26.517098,-81.878807 26.5171275,-81.8788212 26.5171544,-81.8788443 26.5171758,-81.8788737 26.5171896,-81.8789065 26.5171943,-81.8789393 26.5171894,-81.8789687 26.5171755,-81.8789924 26.5171528,-81.8790063 26.5171245,-81.879009 26.5170936,-81.8790001 26.5170636,-81.8789806 26.5170379,-81.8789528 26.5170195,-81.8789197 26.5170104,-81.8788851 26.5170115,-81.8788528 26.5170229,-81.8788266 26.5170432)",1380,98040418,98040418,11009071,Thory Court,residential,True,False,64.235,,,,,,,,,,,572.0
"LINESTRING (-81.8788266 26.5170432,-81.878744 26.516889,-81.878458 26.516682,-81.87835 26.51659,-81.878276 26.516505,-81.878225 26.516427)",1381,98040418,98040434,11009072,Thory Court,residential,False,True,92.481,,,,,,,,,,,324.0
"LINESTRING (-81.878225 26.516427,-81.878276 26.516505,-81.87835 26.51659,-81.878458 26.516682,-81.878744 26.516889,-81.8788266 26.5170432)",1382,98040434,98040418,11009072,Thory Court,residential,False,False,92.481,,,,,,,,,,,324.0
"LINESTRING (-81.878225 26.516427,-81.878165 26.516461,-81.878091 26.516495,-81.877956 26.516538,-81.877882 26.516553,-81.877723 26.516569,-81.877624 26.516569)",1383,98040434,98235030,11035139,Hendry Creek Drive,residential,False,False,62.92,,,,,,,,,,,442.1666666666667
"LINESTRING (-81.878225 26.516427,-81.878292 26.516378,-81.878344 26.516328,-81.87876 26.515805)",1384,98040434,98348605,11035139,Hendry Creek Drive,residential,False,True,87.586,,,,,,,,,,,1102.6666666666667
"LINESTRING (-81.890913 26.532657,-81.8908292 26.5326561)",1476,98042552,7111647701,11009236,South Brentwood Road,residential,False,False,8.337,,,,,,,,,,,114.66666666666666
"LINESTRING (-81.890913 26.532657,-81.8910368 26.5326539)",1477,98042552,7111647700,11021992,Putter Point Lane,residential,False,False,12.321,,,,,,,,,,,143.66666666666669
"LINESTRING (-81.890913 26.532657,-81.890952 26.534626)",1478,98042552,98347553,11043760,Overlook Drive,residential,False,True,218.977,,,,,,,,,,,56.0
"LINESTRING (-81.888441 26.532726,-81.888515 26.532693,-81.888532 26.5326924)",1479,98042569,7111647740,11009236,South Brentwood Road,residential,False,True,9.919,,,,,,,,,,,233.66666666666666
"LINESTRING (-81.888441 26.532726,-81.888385 26.532821,-81.888384 26.533252,-81.888399 26.534247,-81.888412 26.53465)",1480,98042569,98315215,11032616,East Brentwood Road,residential,False,True,215.347,,,,,,,,,,,194.5
"LINESTRING (-81.888441 26.532726,-81.8883557 26.5326633,-81.8882033 26.532585,-81.8880908 26.532509,-81.8880158 26.5324412,-81.8879217 26.5323428)",1481,98042569,7111647745,761177607,,service,False,False,67.497,,,private,driveway,,,,,,,245.5
"LINESTRING (-81.8989071 26.5336483,-81.89903 26.533393,-81.89909 26.533249,-81.899141 26.533101,-81.89918 26.532949,-81.8991847 26.5329245)",2002,98050943,7013151864,616641043,Winkler Road,tertiary,False,True,85.323,2,,,,,,,,,,0.0
"LINESTRING (-81.8979947 26.5332362,-81.898092 26.533027,-81.8983854 26.5324202,-81.8984534 26.5322711)",2005,98050950,8269675636,"[11045824, 664043308]",Patty Berg Drive,residential,False,"[False, True]",116.618,,,,,,,,,,,0.0
"LINESTRING (-81.898912 26.524321,-81.898925 26.524985)",2010,98050973,98099228,616641043,Winkler Road,tertiary,False,False,73.845,2,,,,,,,,,,73.0
"LINESTRING (-81.898912 26.524321,-81.8989076 26.5236772)",2011,98050973,98099230,616641043,Winkler Road,tertiary,False,True,71.589,2,,,,,,,,,,189.25
"LINESTRING (-81.898912 26.524321,-81.8989735 26.5243201,-81.899479 26.524313)",2012,98050973,98050978,11009966,Ascot Lane,residential,False,False,56.419,,,,,,,,,,,94.16666666666666
"LINESTRING (-81.899479 26.524313,-81.900351 26.5243)",2013,98050978,98050980,11009966,Ascot Lane,residential,False,False,86.768,,,,,,,,,,,139.0
"LINESTRING (-81.899479 26.524313,-81.8989735 26.5243201,-81.898912 26.524321)",2014,98050978,98050973,11009966,Ascot Lane,residential,False,True,56.419,,,,,,,,,,,94.16666666666666
"LINESTRING (-81.899479 26.524313,-81.899504 26.525723,-81.899526 26.525799,-81.899573 26.525863,-81.899639 26.525907,-81.899715 26.525925,-81.899792 26.525924,-81.900165 26.52588,-81.900322 26.525849,-81.900477 26.525807,-81.90058 26.525775)",2015,98050978,98074008,11019469,Essex Drive,residential,False,False,278.111,,,,,,,,,,,159.29166666666666
"LINESTRING (-81.900351 26.5243,-81.901237 26.524287)",2016,98050980,98050986,11009966,Ascot Lane,residential,False,False,88.161,,,,,,,,,,,251.16666666666669
"LINESTRING (-81.900351 26.5243,-81.899479 26.524313)",2017,98050980,98050978,11009966,Ascot Lane,residential,False,True,86.768,,,,,,,,,,,139.0
"LINESTRING (-81.900351 26.5243,-81.900364 26.524973,-81.900373 26.525215,-81.900385 26.525293,-81.900408 26.525364,-81.90058 26.525775)",2018,98050980,98074008,11011905,Kimberly Terrace,residential,False,True,167.544,,,,,,,,,,,191.95833333333331
"LINESTRING (-81.901237 26.524287,-81.902065 26.524277)",2019,98050986,98050988,11009966,Ascot Lane,residential,False,False,82.386,,,,,,,,,,,185.0
"LINESTRING (-81.901237 26.524287,-81.900351 26.5243)",2020,98050986,98050980,11009966,Ascot Lane,residential,False,True,88.161,,,,,,,,,,,251.16666666666669
"LINESTRING (-81.901237 26.524287,-81.901247 26.524874,-81.901257 26.525091,-81.901277 26.525306,-81.901278 26.525372,-81.901258 26.525433,-81.901204 26.525489,-81.901127 26.525533,-81.90075 26.52571,-81.90058 26.525775)",2021,98050986,98074008,11033543,Scarboro Drive,residential,False,True,205.893,,,,,,,,,,,271.45833333333337
"LINESTRING (-81.902065 26.524277,-81.901237 26.524287)",2022,98050988,98050986,11009966,Ascot Lane,residential,False,True,82.386,,,,,,,,,,,185.0
"LINESTRING (-81.902065 26.524277,-81.902583 26.524262,-81.902921 26.524261)",2023,98050988,98050992,11009966,Ascot Lane,residential,False,False,85.191,,,,,,,,,,,45.66666666666667
"LINESTRING (-81.902065 26.524277,-81.902074 26.52484,-81.902084 26.525075,-81.902094 26.525143,-81.902151 26.525433,-81.902157 26.525507,-81.902155 26.525581,-81.902145 26.525652,-81.902123 26.525729,-81.902096 26.52579,-81.902054 26.525857,-81.902003 26.52592,-81.901954 26.525969,-81.901887 26.526019,-81.901821 26.526057,-81.901675 26.526132)",2024,98050988,98318248,11046819,Villmoor Lane,residential,False,True,227.436,,,,,,,,,,,93.5
"LINESTRING (-81.902921 26.524261,-81.903258 26.524257)",2025,98050992,98050995,11009966,Ascot Lane,residential,False,False,33.532,,,,,,,,,,,26.0
"LINESTRING (-81.902921 26.524261,-81.902583 26.524262,-81.902065 26.524277)",2026,98050992,98050988,11009966,Ascot Lane,residential,False,True,85.191,,,,,,,,,,,45.66666666666667
"LINESTRING (-81.902921 26.524261,-81.902938 26.524997,-81.902956 26.525125,-81.902998 26.525287,-81.903021 26.525425,-81.903027 26.525561,-81.903034 26.525718,-81.903033 26.525793,-81.903026 26.525866,-81.903012 26.525936,-81.902959 26.526053)",2027,98050992,98055130,11010293,Pickadilly Court,residential,False,False,201.247,,,,,,,,,,,185.0
"LINESTRING (-81.903258 26.524257,-81.902921 26.524261)",2028,98050995,98050992,11009966,Ascot Lane,residential,False,True,33.532,,,,,,,,,,,26.0
"LINESTRING (-81.900719 26.48861,-81.899527 26.488633,-81.899449 26.48863,-81.899376 26.488606,-81.899314 26.488563,-81.89927 26.488504,-81.899248 26.488437,-81.899236 26.487826)",2144,98053164,98053177,11010148,Woodgate Manor Court,residential,False,False,225.578,,,,,,,,,,,367.0
"LINESTRING (-81.900719 26.48861,-81.900703 26.487997,-81.900684 26.487933,-81.900643 26.487876,-81.900586 26.487833,-81.900517 26.487808,-81.900443 26.487802,-81.899236 26.487826)",2145,98053164,98053177,11041314,Woodgate Drive,residential,False,False,225.458,,,,,,,,,,,367.0
"LINESTRING (-81.900719 26.48861,-81.901331 26.488599,-81.901412 26.488583,-81.901483 26.488544,-81.901537 26.488488,-81.901557 26.488442,-81.901568 26.488418,-81.901573 26.488344,-81.901564 26.488106,-81.90157 26.488041,-81.901597 26.48798,-81.901643 26.48793,-81.901704 26.487893,-81.901774 26.487875,-81.902304 26.487865,-81.902385 26.487876,-81.902457 26.487909,-81.902514 26.487962,-81.902549 26.488028,-81.902558 26.488101,-81.9025555 26.4883289,-81.9025496 26.4883703,-81.9025348 26.4884126,-81.9024922 26.4884922)",2146,98053164,9068789959,11010148,Woodgate Manor Court,residential,False,True,303.281,,,,,,,,,,,845.8333333333333
"LINESTRING (-81.899236 26.487826,-81.898632 26.487839)",2147,98053177,98099345,11041314,Woodgate Drive,residential,False,False,60.129,,,,,,,,,,,78.66666666666667
